Id;latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type;Zona;Trimestre;Año
 ;5,797123;-74,614136;344,81;0,51;0,41;14/02/2012;1803;N;VIIRS;n;1;303,26;28,91;D;0;Boyacá;1;2012
 ;5,797221;-74,611763;330,01;0,51;0,41;14/02/2012;1803;N;VIIRS;n;1;298,93;12,29;D;0;Boyacá;1;2012
 ;5,797494;-72,504433;344,74;0,55;0,43;18/02/2012;1828;N;VIIRS;n;1;304,06;36,85;D;0;Boyacá;1;2012
 ;5,814264;-72,8582;336,05;0,53;0,42;05/03/2012;1828;N;VIIRS;n;1;303,89;3,92;D;0;Boyacá;1;2012
 ;5,817106;-74,366516;329,53;0,36;0,58;22/02/2012;1853;N;VIIRS;n;1;294,56;2,46;D;0;Boyacá;1;2012
 ;5,81994;-74,369179;332,32;0,36;0,58;22/02/2012;1853;N;VIIRS;n;1;295,14;4,35;D;0;Boyacá;1;2012
 ;5,822626;-74,328323;330,33;0,53;0,42;23/02/2012;1835;N;VIIRS;n;1;298,39;1,72;D;0;Boyacá;1;2012
 ;5,842271;-72,630501;347,88;0,41;0,61;21/02/2012;1732;N;VIIRS;n;1;292,43;9,02;D;0;Boyacá;1;2012
 ;5,8493;-74,140678;332,52;0,41;0,37;19/02/2012;1809;N;VIIRS;n;1;296,67;5,19;D;0;Boyacá;1;2012
 ;5,860845;-74,098145;335,98;0,47;0,47;15/03/2012;1841;N;VIIRS;n;1;292,02;4,15;D;0;Boyacá;1;2012
 ;5,869068;-74,155434;341,53;0,38;0,36;24/02/2012;1816;N;VIIRS;n;1;298,8;23,1;D;0;Boyacá;1;2012
 ;5,874552;-74,16011;335,7;0,45;0,39;02/02/2012;1828;N;VIIRS;n;1;291,83;4,69;D;0;Boyacá;1;2012
 ;5,883283;-72,597031;344,49;0,38;0,36;19/02/2012;1809;N;VIIRS;n;1;305,21;9,74;D;0;Boyacá;1;2012
 ;5,883772;-72,562355;349,19;0,67;0,73;27/02/2012;1719;N;VIIRS;n;1;288,55;17,18;D;0;Boyacá;1;2012
 ;5,889962;-72,916306;346,69;0,53;0,42;05/03/2012;1828;N;VIIRS;n;1;297,77;11,98;D;0;Boyacá;1;2012
 ;5,904416;-74,329239;331,8;0,47;0,64;27/02/2012;1900;N;VIIRS;n;1;293,91;4,29;D;0;Boyacá;1;2012
 ;5,908069;-72,39946;354,04;0,39;0,44;04/02/2012;1750;N;VIIRS;n;1;302,63;13,44;D;0;Boyacá;1;2012
 ;5,91048;-74,329208;339,42;0,47;0,64;27/02/2012;1900;N;VIIRS;n;1;293,59;4,29;D;0;Boyacá;1;2012
 ;5,910891;-74,333076;343,85;0,49;0,4;14/02/2012;1803;N;VIIRS;n;1;300,56;13,01;D;0;Boyacá;1;2012
 ;5,91222;-72,399078;340,77;0,39;0,44;04/02/2012;1750;N;VIIRS;n;1;312,95;63,98;D;0;Boyacá;1;2012
 ;5,912724;-72,395927;339,1;0,39;0,44;04/02/2012;1750;N;VIIRS;n;1;293,58;35,71;D;0;Boyacá;1;2012
 ;5,91609;-74,304604;335,62;0,39;0,36;23/01/2012;1816;N;VIIRS;n;1;293,22;3,55;D;0;Boyacá;1;2012
 ;5,925147;-72,400169;336,79;0,51;0,66;16/02/2012;1725;N;VIIRS;n;1;292,3;3,16;D;0;Boyacá;1;2012
 ;5,925847;-72,40097;335,59;0,51;0,66;16/02/2012;1726;N;VIIRS;n;1;291,5;3,96;D;0;Boyacá;1;2012
 ;5,934177;-74,339317;346,24;0,45;0,47;15/03/2012;1841;N;VIIRS;n;1;291,16;18,97;D;0;Boyacá;1;2012
 ;5,936975;-74,388634;354,28;0,53;0,42;07/02/2012;1835;N;VIIRS;n;1;300,24;13;D;0;Boyacá;1;2012
 ;5,953148;-72,458717;338,99;0,51;0,66;16/02/2012;1726;N;VIIRS;n;1;293,25;6,58;D;0;Boyacá;1;2012
 ;5,953718;-72,455528;328,27;0,51;0,66;16/02/2012;1726;N;VIIRS;n;1;294,57;8,31;D;0;Boyacá;1;2012
 ;5,954603;-73,5429;328,18;0,55;0,42;24/01/2012;1757;N;VIIRS;n;1;294,66;4,06;D;0;Boyacá;1;2012
 ;5,955553;-73,393211;329,62;0,57;0,52;30/01/2012;1744;N;VIIRS;n;1;291,39;7,15;D;0;Boyacá;1;2012
 ;5,960763;-72,466743;342,04;0,4;0,6;21/02/2012;1732;N;VIIRS;n;1;297,76;5,68;D;0;Boyacá;1;2012
 ;5,961412;-72,439453;331,76;0,41;0,37;14/02/2012;1803;N;VIIRS;n;1;295,24;3,09;D;0;Boyacá;1;2012
 ;5,97749;-74,458832;338,67;0,52;0,5;04/02/2012;1751;N;VIIRS;n;1;294,89;5,54;D;0;Boyacá;1;2012
 ;5,994818;-72,433853;331,09;0,56;0,43;18/02/2012;1828;N;VIIRS;n;1;296,86;10,89;D;0;Boyacá;1;2012
 ;6,010384;-74,288979;341,8;0,51;0,49;04/02/2012;1751;N;VIIRS;n;1;292,88;11,17;D;0;Boyacá;1;2012
 ;6,015943;-72,516762;336,64;0,48;0,4;24/01/2012;1757;N;VIIRS;n;1;302,1;10,29;D;0;Boyacá;1;2012
 ;6,030355;-72,643776;336,07;0,5;0,49;02/03/2012;1744;N;VIIRS;n;1;286,5;8,31;D;0;Boyacá;1;2012
