Año,Trimestre,Mes,Día,acq_time,Año,bright_ti4,bright_ti5,confidence,daynight,frp,Id,instrument,Promedio de latitude,Promedio de longitude,satellite,scan,track,Trimestre,type,version,Zona
2012,Trim. 2,junio,22,6972,8048,1368.8,1178.75,n,D,17.66,"",VIIRS,5.505986500000001,-74.14085025,N,1.3,2.2,8,0,4,Boyacá
2012,Trim. 2,junio,25,5481,6036,999.46,892.27,n,D,13.74,"",VIIRS,5.769532333333334,-74.61113,N,1.29,1.1400000000000001,6,0,3,Boyacá
2012,Trim. 2,junio,29,5556,6036,1035.66,874.64,n,D,17.02,"",VIIRS,5.748960666666666,-74.51037333333333,N,1.04,1.69,6,0,3,Boyacá
2012,Trim. 2,junio,29,1216,4024,597.99,549.99,n,N,2.66,"",VIIRS,5.760350000000001,-72.8920555,N,0.86,0.76,4,4,2,Boyacá
2012,Trim. 2,junio,30,3666,4024,677,605,n,D,8.22,"",VIIRS,5.5897144999999995,-73.5173565,N,0.78,0.88,4,0,2,Boyacá
2012,Trim. 2,junio,30,549,2012,309.66,270.83,n,N,1.98,"",VIIRS,5.77558,-72.879364,N,0.55,0.51,2,2,1,Boyacá
2012,Trim. 3,julio,1,3629,4024,665.31,591.46,n,D,9.09,"",VIIRS,6.3574065,-72.4360275,N,0.81,0.73,6,2,2,Boyacá
2012,Trim. 3,julio,2,1756,2012,329.85,297.33,n,D,4.02,"",VIIRS,5.734744,-74.6595,N,0.43,0.46,3,3,1,Boyacá
2012,Trim. 3,julio,2,652,2012,298.58,277.91,n,N,2.97,"",VIIRS,5.46603,-73.556824,N,0.62,0.54,3,2,1,Boyacá
2012,Trim. 3,julio,4,1842,6036,894.27,835.88,n,N,3.73,"",VIIRS,5.852348333333334,-72.82185333333332,N,1.17,1.08,9,4,3,Boyacá
2012,Trim. 3,julio,7,658,2012,302.5,282.36,n,N,2.72,"",VIIRS,5.765051,-72.932671,N,0.43,0.62,3,2,1,Boyacá
2012,Trim. 3,julio,8,1743,2012,336.34,281.65,n,D,4.04,"",VIIRS,5.62452,-74.366631,N,0.33,0.56,3,0,1,Boyacá
2012,Trim. 3,julio,9,1242,4024,602.6,565.61,n,N,2.43,"",VIIRS,5.627148999999999,-73.193737,N,0.77,0.72,6,4,2,Boyacá
2012,Trim. 3,julio,10,7384,8048,1372.75,1144.92,n,D,124.38,"",VIIRS,6.08319325,-74.344002,N,2.26,2.08,12,0,4,Boyacá
2012,Trim. 3,julio,11,1827,2012,333.78,277.86,n,D,3.06,"",VIIRS,5.751026,-74.647469,N,0.43,0.38,3,0,1,Boyacá
2012,Trim. 3,julio,11,1086,4024,598.51,564,n,N,2.49,"",VIIRS,5.774338,-72.8783725,N,0.7,1.14,6,4,2,Boyacá
2012,Trim. 3,julio,15,608,2012,305.75,279.63,n,N,1.09,"",VIIRS,6.016253,-72.654266,N,0.43,0.38,3,0,1,Boyacá
2012,Trim. 3,julio,16,1834,2012,328.5,292.18,n,D,3.12,"",VIIRS,6.160408,-74.586052,N,0.52,0.41,3,3,1,Boyacá
2012,Trim. 3,julio,17,5444,6036,1006.68,891.05,n,D,17.33,"",VIIRS,5.7900203333333335,-74.40491233333334,N,1.17,1.08,9,0,3,Boyacá
2012,Trim. 3,julio,18,5268,6036,1019.24,852.24,n,D,17.66,"",VIIRS,5.864174666666667,-74.28449233333333,N,1.2000000000000002,1.34,9,0,3,Boyacá
2012,Trim. 3,julio,19,5211,6036,1013.58,867.39,n,D,11.19,"",VIIRS,5.6617223333333335,-74.31095366666666,N,1.27,1.8399999999999999,9,0,3,Boyacá
2012,Trim. 3,julio,22,5463,6036,1019.51,892.15,n,D,18.2,"",VIIRS,5.70428,-74.30525966666667,N,1.1800000000000002,1.0899999999999999,9,0,3,Boyacá
